epoch	train_loss	valid_loss	mse	mae	time
0	7.548791	4.687284	4.687284	1.782884	07:15
1	7.444777	4.836634	4.836634	1.819854	07:17
2	7.460588	4.742148	4.742148	1.799049	07:09
3	7.432175	4.522463	4.522463	1.745807	07:13
4	7.347596	4.635907	4.635907	1.784013	07:35
5	7.301965	4.170914	4.170914	1.683198	07:18
6	7.180804	4.157401	4.157401	1.675465	07:12
7	7.122730	4.092440	4.092440	1.667101	07:15
8	7.062274	3.911510	3.911510	1.625487	07:17
9	6.946557	3.897502	3.897502	1.602343	07:15
10	6.803391	3.680589	3.680589	1.581369	07:11
11	6.740168	3.515522	3.515522	1.536052	07:12
12	6.706659	3.534531	3.534531	1.550574	07:17
13	6.681707	3.438407	3.438407	1.515255	07:20
14	6.634690	3.643765	3.643765	1.556672	07:06
15	6.517337	3.353138	3.353138	1.507672	07:11
16	6.482541	3.225803	3.225803	1.450936	07:09
17	6.461111	3.314726	3.314726	1.499034	07:04
18	6.374773	3.170746	3.170746	1.466923	07:08
19	6.340348	3.038449	3.038449	1.432497	07:03
20	6.294018	2.781974	2.781974	1.357143	07:14
21	6.242366	3.183057	3.183057	1.470369	07:20
22	6.138533	3.151021	3.151021	1.465220	07:07
23	6.089690	2.998879	2.998879	1.438142	07:10
24	5.994748	3.062429	3.062429	1.465617	07:12
25	5.975481	2.893109	2.893109	1.404914	07:14
26	5.889106	2.748928	2.748928	1.351568	07:04
27	5.868217	2.821555	2.821555	1.383001	07:07
28	5.848066	2.881647	2.881647	1.412853	07:11
29	5.787339	2.726148	2.726148	1.354408	06:52
30	5.742362	2.651082	2.651082	1.344384	06:55
31	5.714011	2.935223	2.935223	1.427406	07:11
32	5.652350	2.617347	2.617347	1.328735	07:12
33	5.600296	2.773375	2.773375	1.400275	07:17
34	5.645535	2.576016	2.576016	1.351802	07:08
35	5.570987	2.559224	2.559224	1.340036	07:18
36	5.596156	2.550455	2.550455	1.319600	07:12
37	5.581462	2.461389	2.461389	1.291278	02:26
38	5.530584	2.410995	2.410995	1.295982	02:12
39	5.515955	2.314490	2.314490	1.261523	02:15
40	5.523252	2.545442	2.545442	1.324695	02:17
41	5.557725	2.587331	2.587331	1.345252	02:12
42	5.494184	2.403656	2.403656	1.289521	02:13
43	5.413098	2.484462	2.484462	1.321342	02:12
44	5.352779	2.538434	2.538434	1.331234	02:13
45	5.304266	2.441632	2.441632	1.296802	02:13
