epoch	train_loss	valid_loss	mse	mae	time
0	0.223424	0.165019	0.165019	0.250234	02:59
1	0.224307	0.154096	0.154096	0.243122	02:57
2	0.232714	0.166431	0.166431	0.252884	02:58
3	0.227101	0.154580	0.154580	0.240991	02:59
4	0.227559	0.162088	0.162088	0.247373	02:57
5	0.227827	0.151824	0.151824	0.237132	02:58
6	0.227759	0.163807	0.163807	0.244822	02:57
7	0.219293	0.151501	0.151501	0.234548	02:58
8	0.219797	0.147913	0.147913	0.233536	02:57
9	0.216441	0.148324	0.148324	0.230756	02:58
10	0.216128	0.149016	0.149016	0.231113	02:58
11	0.216330	0.149063	0.149063	0.238505	02:56
12	0.222034	0.154699	0.154699	0.244373	03:06
13	0.214857	0.156907	0.156907	0.239569	03:00
14	0.213441	0.148655	0.148655	0.236623	02:57
15	0.216652	0.157953	0.157953	0.245639	03:00
16	0.213918	0.152071	0.152071	0.240218	02:58
17	0.212671	0.149751	0.149751	0.235252	03:00
18	0.208782	0.152371	0.152371	0.239737	02:57
19	0.208379	0.149275	0.149275	0.233463	02:56
20	0.208400	0.152983	0.152983	0.240822	02:57
21	0.205337	0.149746	0.149746	0.233616	02:59
22	0.205050	0.145955	0.145955	0.232652	02:57
23	0.198925	0.148557	0.148557	0.230948	02:58
24	0.198570	0.138866	0.138866	0.227673	02:57
25	0.192179	0.133391	0.133391	0.225291	02:57
26	0.189350	0.135775	0.135775	0.225686	02:59
27	0.193248	0.131749	0.131749	0.226736	02:56
28	0.189572	0.134712	0.134712	0.222479	02:58
29	0.191730	0.143301	0.143301	0.228349	02:57
30	0.188788	0.138561	0.138561	0.229953	02:57
31	0.184275	0.133156	0.133156	0.221204	02:57
32	0.187167	0.135580	0.135580	0.224729	02:57
33	0.187061	0.158877	0.158877	0.247322	02:59
34	0.188038	0.141556	0.141556	0.223894	02:57
35	0.183083	0.132127	0.132127	0.226132	02:58
36	0.182269	0.128900	0.128900	0.216503	02:58
37	0.183824	0.125346	0.125346	0.216265	03:02
38	0.184725	0.148581	0.148581	0.234733	03:01
39	0.180485	0.129465	0.129465	0.226611	02:56
40	0.178679	0.120534	0.120534	0.218603	02:56
41	0.168039	0.123453	0.123453	0.212417	02:58
42	0.166074	0.133643	0.133643	0.229827	02:57
43	0.164227	0.123032	0.123032	0.209532	02:57
44	0.168956	0.124274	0.124274	0.214612	02:58
45	0.164597	0.127557	0.127557	0.212031	02:58
46	0.163165	0.112634	0.112634	0.196836	02:58
47	0.166386	0.134057	0.134057	0.221327	03:17
48	0.164477	0.126801	0.126801	0.210019	03:03
49	0.161876	0.127720	0.127720	0.213024	03:02
50	0.161182	0.123917	0.123917	0.209952	03:03
51	0.162071	0.118319	0.118319	0.207773	03:03
52	0.158321	0.122353	0.122353	0.208272	03:03
53	0.160197	0.131121	0.131121	0.219202	03:03
54	0.158798	0.116013	0.116013	0.204237	03:00
55	0.159149	0.117660	0.117660	0.207032	03:02
56	0.157409	0.112201	0.112201	0.205073	03:01
57	0.151577	0.133364	0.133364	0.222292	03:05
58	0.148898	0.107593	0.107593	0.197768	03:01
59	0.146341	0.119833	0.119833	0.207892	03:01
60	0.146326	0.113666	0.113666	0.205747	03:00
61	0.143582	0.125341	0.125341	0.209750	03:00
62	0.140810	0.118775	0.118775	0.201447	03:01
63	0.138452	0.109626	0.109626	0.198910	03:01
64	0.140449	0.107690	0.107690	0.203191	03:01
65	0.144658	0.109940	0.109940	0.194951	02:59
66	0.143602	0.106494	0.106494	0.202115	02:59
67	0.140584	0.120448	0.120448	0.213520	03:00
68	0.138794	0.111840	0.111840	0.199297	02:58
69	0.139699	0.119893	0.119893	0.202675	02:57
70	0.141517	0.113915	0.113915	0.203009	02:58
71	0.138503	0.115061	0.115061	0.200944	02:58
72	0.134041	0.111751	0.111751	0.194219	02:57
73	0.136528	0.130362	0.130362	0.211005	02:58
74	0.135551	0.125739	0.125739	0.206200	02:57
75	0.134864	0.110984	0.110984	0.197452	02:57
76	0.136283	0.107911	0.107911	0.195924	02:57
77	0.133742	0.099368	0.099368	0.182491	03:01
78	0.132920	0.100047	0.100047	0.189351	25:40
79	0.136854	0.113846	0.113846	0.201444	03:36
80	0.134368	0.138957	0.138957	0.221448	03:26
81	0.129799	0.117658	0.117658	0.203403	02:59
82	0.130748	0.108133	0.108133	0.198464	03:02
83	0.131045	0.113365	0.113365	0.202608	03:03
84	0.129278	0.098850	0.098850	0.179304	03:08
85	0.126979	0.100799	0.100799	0.179520	03:17
86	0.125517	0.100067	0.100067	0.185017	03:00
87	0.124665	0.097347	0.097347	0.180993	03:24
88	0.130139	0.110550	0.110550	0.198246	03:03
89	0.127369	0.107571	0.107571	0.193347	03:01
90	0.130282	0.101798	0.101798	0.194194	03:23
91	0.133463	0.116091	0.116091	0.196142	03:04
92	0.128504	0.092222	0.092222	0.171428	03:13
93	0.126631	0.119495	0.119495	0.207446	03:12
94	0.124021	0.102554	0.102554	0.188214	03:18
95	0.125353	0.112967	0.112967	0.200803	03:35
96	0.128394	0.110543	0.110543	0.190867	03:17
97	0.125490	0.101148	0.101148	0.186484	03:12
98	0.123801	0.114783	0.114783	0.194331	03:15
99	0.131520	0.100645	0.100645	0.190972	03:10
100	0.129591	0.102710	0.102710	0.186604	03:34
101	0.123984	0.113158	0.113158	0.186741	03:00
102	0.120109	0.111381	0.111381	0.193796	02:58
103	0.117131	0.097756	0.097756	0.179922	03:11
104	0.113629	0.110587	0.110587	0.190675	03:18
105	0.113179	0.107034	0.107034	0.194782	03:06
106	0.119156	0.103169	0.103169	0.181239	03:21
107	0.119773	0.112935	0.112935	0.196048	03:16
108	0.119196	0.108411	0.108411	0.181769	02:59
109	0.120473	0.125579	0.125579	0.208697	03:08
110	0.120870	0.093105	0.093105	0.180829	03:13
111	0.123609	0.094147	0.094147	0.173827	03:10
112	0.121713	0.108433	0.108433	0.186828	03:05
113	0.117898	0.115469	0.115469	0.199429	03:08
114	0.119694	0.094557	0.094557	0.174715	03:17
115	0.117816	0.102739	0.102739	0.184143	03:21
116	0.116871	0.099465	0.099465	0.188637	03:21
117	0.115683	0.101856	0.101856	0.189743	03:20
